Battery_Used,Version,ElapsedTimestamp
0.01,,60
0.02,,193
0.01,1.32.0,348
0.15,1.32.0,511
0.01,1.32.0,24
0.09,1.32.0,241
0.13,1.32.0,360
0.11,1.32.0,23537
0.09,1.32.0,1112
0.16,1.32.0,1772
0.05,1.32.0,721
0.01,1.32.0,131
0.12,1.32.0,1292
0.03,1.32.0,300
0.01,1.32.0,120
0.31,1.32.0,840
0.02,1.32.0,52
0.05,1.32.0,503
0.05,1.32.0,941
0.02,1.32.0,90
0.75,1.32.0,8323
0.29,1.32.0,873
0.11,1.32.0,330
0.03,1.32.0,180
0.39,1.32.0,1173
0.49,1.32.0,1474
0.43,1.32.0,1930
0.42,1.32.0,2958
0.17,1.32.0,510
0.18,1.32.0,540
0.11,1.32.0,329
0.01,1.32.0,17
0.05,1.32.0,149
0.06,1.32.0,1314
0.06,1.32.0,466
0.04,1.32.0,377
0.01,1.32.0,145
0.01,1.32.0,763
0.07,1.32.0,481
0.12,1.32.0,391
0.03,1.32.0,203
0.03,1.32.0,244
0.01,1.32.0,127
0.03,1.32.0,192
0.02,1.32.0,62
0.02,1.32.0,145
0.01,1.32.0,153
0.07,1.32.0,1076
0.06,1.32.0,872
0.01,1.32.0,12
0.24,1.32.0,2066
0.05,1.32.0,129
0.08,1.32.0,94
0.02,1.32.0,111
0.02,1.32.0,263
0.01,1.32.0,124
0.03,1.32.0,2332
0.11,1.32.0,1160
0.01,1.32.0,70
0.04,1.32.0,482
0.06,1.32.0,427
0.02,1.32.0,80
0.04,1.32.0,282
0.01,1.32.0,70
0.04,1.32.0,243
0.01,1.33.0,60
0.02,1.33.0,13246
0.01,1.33.0,37
0.01,1.33.0,34
0.02,1.33.0,142
0.01,1.33.0,73
0.04,1.33.0,488
0.01,1.33.0,35
0.01,1.33.0,70
0.65,1.33.0,2039
0.01,1.33.0,11
0.06,1.33.0,620
0.18,1.33.0,2186
0.17,1.33.0,1925
0.33,1.33.0,2473
0.18,1.33.0,1228
0.05,1.33.0,736
0.02,1.33.0,236
0.06,1.38.0,412
0.8,1.38.0,5516
0.17,1.38.0,795
0.02,1.38.0,155
0.72,1.38.0,4915
0.29,1.38.0,2192
0.14,1.38.0,788
0.82,1.38.0,6217
0.61,1.38.0,4189
0.23,1.38.0,1651
0.16,1.38.0,1296
0.6,1.38.0,4884
0.29,1.38.0,1223
0.08,1.38.0,579
0.01,1.38.0,30
0.58,1.38.0,4964
0.45,1.38.0,2560
0.81,1.38.0,6407
0.12,1.38.0,862
0.01,1.38.0,162
0.44,1.38.0,3668
0.63,1.38.0,4496
0.31,1.38.0,1480
0.41,1.38.0,3177
0.02,1.34.0,56
0.16,1.34.0,694
0.67,1.34.0,2477
0.29,1.34.0,1302
0.01,1.34.0,61
0.02,1.34.0,69
0.26,1.34.0,887
0.23,1.34.0,4682
0.09,1.34.0,518
0.02,1.34.0,62
0.14,1.34.0,427
0.02,1.34.0,19
0.02,1.34.0,76
0.02,1.34.0,140
0.32,1.34.0,2300
0.27,1.34.0,2640
0.64,1.34.0,4701
0.05,1.34.0,319
0.08,1.34.0,841
0.06,1.34.0,237
0.03,1.34.0,101
0.01,1.34.0,31
0.12,1.34.0,566
0.18,1.34.0,840
0.01,1.34.0,40
0.1,1.34.0,436
0.02,1.34.0,61
0.35,1.34.0,1070
0.11,1.34.0,336
0.29,1.34.0,1117
0.02,1.34.0,61
0.01,1.34.0,31
0.01,1.34.0,10
0.06,1.34.0,617
0.1,1.34.0,741
0.19,1.34.0,1825
0.07,1.34.0,1406
0.23,1.34.0,1759
0.12,1.34.0,1205
0.04,1.34.0,263
0.14,1.34.0,1103
0.09,1.34.0,310
0.38,1.34.0,801
0.02,1.34.0,58
0.12,1.34.0,331
0.01,1.34.0,46
0.08,1.39.0,434
0.02,1.39.0,354
0.05,1.39.0,288
0.02,1.39.0,395
0.02,1.39.0,360
0.08,1.39.0,810
0.06,1.39.0,1036
0.05,1.39.0,326
0.1,1.39.0,1760
0.01,1.39.0,263
0.01,1.39.0,192
0.07,1.39.0,409
0.01,1.39.0,190
0.02,1.39.0,436
0.15,1.39.0,3765
0.01,1.39.0,236
0.04,1.39.0,708
0.14,1.39.0,2557
