Battery_Used,Version,ElapsedTimestamp
0.03,1.1.1,210
0.01,1.1.1,70
0.04,1.0,381
0.02,1.0,88
0.01,1.55.5,62
0.01,1.55.5,3
0.09,1.55.5,51268
0.01,1.55.5,45
0.02,1.55.5,150
0.14,1.55.5,981
0.42,1.55.5,530
0.17,1.55.5,1190
0.07,1.55.5,500
0.06,,742
0.1,1.5,2180
0.05,1.5,489
0.29,1.5,5215
0.31,1.5,7073
0.1,1.5,6530
0.08,1.58.0,1326
0.11,1.58.1,3177
0.01,1.58.1,240
0.01,1.58.1,71
0.26,1.56.0,1442
0.13,1.56.0,451
0.09,1.56.0,661
0.01,1.56.0,31
0.17,1.9,212
0.04,1.55.3,540
0.02,1.55.3,300
0.03,1.55.3,81500
0.02,1.50.1,180
0.01,1.50.1,90
0.02,1.50.1,247
0.02,1.51.2,202
0.03,1.51.2,220
0.01,1.51.2,97
0.08,1.51.2,2837
0.03,1.51.2,289
0.1,1.51.2,1245
0.01,1.51.2,92
0.03,1.51.1,210
0.07,1.54.4,474
0.1,1.54.4,700
0.11,1.54.4,183
0.26,1.54.4,1300
0.13,1.54.4,814
0.06,1.54.4,420
0.18,1.54.4,429
0.06,1.54.4,68
0.14,1.54.4,1091
0.14,1.54.4,151
0.01,1.54.3,95
0.01,1.52.3,91
0.26,1.52.3,782
0.23,1.52.3,857
0.03,1.52.3,308
0.01,1.52.3,15
0.16,1.52.3,480
0.34,1.52.3,992
0.15,1.52.3,449
0.08,1.52.3,239
0.04,1.52.3,330
0.33,1.52.3,1097
0.08,1.52.3,240
0.41,1.52.3,5202
0.12,1.52.3,712
0.04,1.52.3,121
0.02,1.52.3,210
0.58,1.52.3,3120
0.07,1.52.3,210
0.65,1.52.3,2146
0.14,1.52.3,1111
0.02,1.52.3,210
0.31,1.52.3,930
0.19,1.52.3,570
0.01,1.52.3,20
0.06,1.52.3,180
0.03,1.52.3,120
0.01,1.52.3,30
0.1,1.52.3,300
0.02,1.52.3,60
0.26,1.52.3,750
0.03,1.52.3,90
0.06,1.52.3,261
0.09,1.52.3,270
0.15,1.52.3,450
0.08,1.52.3,239
0.09,1.52.3,270
0.03,1.52.3,596
0.03,1.52.3,90
0.07,1.52.3,810
0.21,1.52.3,630
0.01,1.52.3,21
0.08,1.52.3,690
0.02,1.52.3,158
0.26,1.52.3,1060
0.02,1.52.3,60
0.06,1.52.3,157
0.07,1.52.3,210
0.01,1.52.3,30
0.03,1.52.3,90
0.01,1.52.3,120
0.29,1.52.3,1349
0.15,1.52.3,64222
0.13,1.52.3,378
0.01,1.57.1,22
0.09,1.57.1,753
0.02,1.57.1,140
0.06,1.9.1,640
0.09,1.9.1,630
0.08,1.9.1,560
0.07,1.9.1,619
0.05,1.9.1,453
0.01,1.9.1,70
0.08,1.48.0,455
0.03,1.48.0,361
0.03,1.48.0,481
0.05,1.48.0,429
0.01,1.48.0,13
0.03,1.49.1,841
0.02,1.50.2,280
