Battery_Used,Version,ElapsedTimestamp
0.03,,210
0.02,,210
0.05,1.128.0.3,1148
0.77,1.128.0.3,880
0.23,1.128.0.3,1620
0.26,1.128.0.3,1725
0.04,1.128.0.3,662
0.11,1.128.0.3,842
0.01,1.128.0.3,68
0.02,1.117.0.4,140
0.15,1.117.0.4,3112
0.14,1.117.0.4,3095
0.01,1.117.0.4,140
0.04,1.117.0.4,490
0.06,1.117.0.4,910
0.03,1.117.0.4,560
0.01,1.117.0.4,70
0.05,1.117.0.4,560
0.01,1.117.0.4,140
0.01,1.117.0.4,70
0.04,1.117.0.4,350
0.09,1.94.0.3,532
0.13,1.133.0.1,1594
0.04,1.133.0.1,602
0.04,1.133.0.1,670
0.11,1.133.0.1,1685
0.06,1.133.0.1,661
0.05,1.133.0.1,632
0.05,1.133.0.1,842
0.08,1.133.0.1,1083
0.08,1.133.0.1,1113
0.02,1.133.0.1,541
0.04,1.133.0.1,632
0.12,1.133.0.1,1684
0.05,1.133.0.1,692
0.06,1.133.0.1,1461
0.11,1.133.0.1,1685
0.02,1.133.0.1,361
0.13,1.133.0.1,2135
0.05,1.133.0.1,1884
0.04,1.133.0.1,662
0.02,1.133.0.1,391
0.03,1.133.0.1,481
0.03,1.133.0.1,647
0.03,1.133.0.1,506
0.04,1.133.0.1,713
0.1,1.133.0.1,1053
0.17,1.133.0.1,2466
0.05,1.133.0.1,24346
0.14,1.133.0.1,1895
0.06,1.133.0.1,812
0.05,1.133.0.1,723
0.06,1.133.0.1,903
0.06,1.133.0.1,962
0.12,1.133.0.1,733
0.15,1.127.0.2,1810
0.31,1.149.0.4,8661
0.05,1.149.0.4,915
0.09,1.149.0.4,3098
0.02,1.149.0.4,214
0.02,1.149.0.4,420
0.04,1.154.1.1,278
0.16,1.154.1.1,1873
0.1,1.154.1.1,1279
0.17,1.154.1.1,1491
0.16,1.154.1.1,2584
0.07,1.154.1.1,1051
0.01,1.154.1.1,292
0.01,1.154.1.1,140
0.07,1.154.0.5,5978
0.04,1.154.0.5,895
0.03,1.154.0.5,83880
0.11,1.154.0.5,760
0.06,1.154.0.5,560
0.2,1.154.0.5,3045
0.07,1.154.0.5,884
0.14,1.154.0.5,1490
0.02,1.154.0.5,60
0.41,1.154.0.5,43291
0.08,1.154.0.5,690
0.11,1.154.0.5,940
0.16,1.154.0.5,1320
0.12,1.154.0.5,885
0.04,1.154.0.5,330
0.14,1.154.0.5,1390
0.15,1.154.0.5,4874
0.01,1.154.0.5,130
0.06,1.154.0.5,640
0.05,1.154.0.5,610
0.15,1.154.0.5,1482
0.15,1.154.0.5,1650
0.04,1.154.0.5,387
0.17,1.154.0.5,4546
0.07,1.154.0.5,570
0.02,1.154.0.5,691
0.01,1.154.0.5,173
0.01,1.154.0.5,142
0.07,1.154.0.5,2339
0.01,1.140.0.5,120
0.17,1.129.0.2,1532
0.03,1.129.0.2,541
