Battery_Used,Version,ElapsedTimestamp
0.03,1.132.4,181
0.01,1.137.7,151
0.02,1.128.2,32502
0.01,1.128.2,33717
0.03,1.128.2,38
0.02,1.128.2,18637
0.02,1.128.2,38
0.01,1.128.2,22
0.02,1.128.2,21
0.01,1.128.2,12
0.04,1.128.2,218
0.01,1.128.2,9
0.02,1.128.2,39
0.32,1.128.2,1078
0.02,1.128.2,10
0.11,1.128.2,185
0.19,1.128.2,289
0.03,1.128.2,96
0.08,1.128.2,115
0.16,1.128.2,315
0.01,1.128.2,49
0.02,1.128.2,16
0.01,1.128.2,52
0.02,1.128.2,10
0.04,1.128.2,64
0.02,1.128.2,98
0.02,1.128.2,42
0.02,1.128.2,13
0.05,1.128.2,99
0.05,1.128.2,166
0.01,1.128.2,47
0.01,1.128.2,79
0.02,1.128.2,50
0.02,1.128.2,6
0.13,1.128.2,519
0.07,1.128.2,257
0.02,1.128.2,13
0.02,1.128.2,64
0.01,1.128.2,7194
0.01,1.128.2,2
0.01,1.128.2,21
0.01,1.128.2,10
0.01,1.128.2,2
0.01,1.128.2,11
0.02,1.128.2,35
0.05,1.128.2,118
0.01,1.128.2,48
0.01,1.128.2,38
0.01,1.128.2,1
0.02,1.128.2,49
0.07,1.128.2,68
0.02,1.128.2,10
0.04,1.128.2,84
0.12,1.128.2,452
0.03,1.128.2,48
0.01,1.128.2,15
0.03,1.128.2,17
0.01,1.128.2,1
0.04,1.128.2,4
0.01,1.128.2,8
0.02,1.128.2,74
0.02,1.128.2,84
0.02,1.128.2,168
0.03,1.128.2,104
0.01,1.128.2,7
0.01,1.128.2,7
0.02,1.128.2,66
0.03,1.128.2,334
0.13,1.128.2,884
0.06,1.128.2,145
0.03,1.128.2,59
0.03,1.128.2,56
0.01,1.128.2,16
0.01,1.128.2,78
0.07,1.128.2,119
0.01,1.128.2,11
0.2,1.128.2,289
0.04,1.128.2,96
0.01,1.128.2,9648
0.04,1.128.2,89
0.03,1.128.2,126
0.2,1.128.2,3274
0.03,1.128.2,82
0.06,1.128.2,145
0.01,1.128.2,19
0.02,1.128.2,19
0.01,1.128.2,7
0.01,1.128.2,6
0.01,1.128.2,7
0.02,1.128.2,49
0.02,1.128.2,21
0.03,1.128.2,20
0.02,1.128.2,61
0.02,1.128.2,5
0.04,1.128.2,137
0.02,1.128.2,25
0.07,1.128.2,159
0.01,1.128.2,2
0.03,1.128.2,73
0.1,1.128.2,111
0.07,1.128.2,137
0.04,1.128.2,136
0.01,1.128.2,32
0.04,1.128.2,93
0.03,1.128.2,19
0.03,1.128.2,18
0.01,1.128.2,70
0.02,1.128.2,30
0.03,1.128.2,16
0.09,1.128.2,27
0.02,1.128.2,93
0.04,1.128.2,4
0.01,1.128.2,26
0.05,1.128.2,7
0.03,1.128.2,16
0.01,1.128.2,6
0.02,1.128.2,2
0.09,1.128.2,9
0.02,1.128.2,71
0.01,1.128.2,2
0.02,1.128.2,48
0.01,1.128.2,26988
0.01,1.128.2,21
0.02,1.128.2,49
0.01,1.128.2,15
0.04,1.128.2,72
0.11,1.128.2,311
0.15,1.128.2,194
0.02,1.128.2,37
0.09,1.128.2,273
0.1,1.128.2,144
0.06,1.128.2,90
0.01,1.128.2,8
0.04,1.128.2,102
0.07,1.128.2,27
0.03,1.128.2,49
0.05,1.128.2,136
0.06,1.128.2,114
0.07,1.128.2,227
0.01,1.128.2,46
0.09,1.128.2,53
0.15,1.128.2,385
0.07,1.128.2,262
0.05,1.128.2,111
0.02,1.128.2,3
0.09,1.128.2,50
0.02,1.128.2,26
0.02,1.128.2,31
0.01,1.128.2,12
0.01,1.128.2,17
0.02,1.128.2,13174
0.1,1.128.2,12
0.13,1.128.2,59
0.01,1.128.2,58
0.02,1.128.2,103
0.03,1.128.2,100
0.03,1.128.2,102
0.05,1.128.2,14
0.03,1.128.2,3
0.01,1.128.2,15
0.01,1.128.2,22
0.01,1.128.2,82307
0.02,1.128.2,12
0.04,1.128.2,60
0.01,1.128.2,7
0.01,1.128.2,16
0.05,1.128.2,50
0.27,1.128.2,111
