Battery_Used,Version,ElapsedTimestamp
0.01,4.0.0,181
0.27,4.0.0,1038
0.15,4.0.0,452
0.06,4.0.0,270
0.01,4.0.0,124
0.34,4.0.0,1022
0.08,4.0.0,240
0.03,4.0.0,120
0.03,4.0.0,735
0.05,4.5.2,369
0.48,4.5.2,4558
0.01,4.5.2,43
0.01,4.5.2,92
0.01,4.5.2,92
0.01,4.5.2,104
0.04,4.5.2,257
0.01,4.5.2,91
0.04,4.5.2,287
0.08,4.5.2,635
0.38,4.5.2,2959
0.38,4.5.2,2766
0.07,4.5.2,698
0.02,4.5.2,139
0.51,4.5.2,3687
0.32,4.5.2,2570
0.54,4.5.2,4307
0.37,4.5.2,3492
0.59,4.5.2,48255
0.3,4.5.2,3093
0.05,4.5.2,351
0.56,4.5.2,5195
0.09,4.5.2,894
0.22,4.5.2,2233
0.11,4.5.2,1082
0.14,4.5.2,1241
0.27,4.5.2,2190
0.22,4.5.2,1626
0.02,4.5.2,187
0.03,4.5.2,295
0.05,4.5.2,500
0.02,4.5.2,443
0.48,4.5.2,5255
0.01,4.5.2,84
0.41,4.5.2,3241
0.1,4.5.2,626
0.25,4.5.2,2671
0.67,4.5.2,6213
0.16,4.5.2,1501
0.02,4.5.2,97
0.01,4.5.2,32
0.07,4.5.2,301
0.29,4.5.2,2724
0.01,4.5.2,246
0.41,4.5.2,3294
0.03,4.5.2,182
0.18,4.5.2,1371
0.24,4.5.2,2553
0.48,4.5.2,3827
0.06,4.5.2,785
0.18,4.5.2,1712
0.37,4.5.2,2909
0.18,4.5.2,3147
0.12,4.5.2,13046
0.07,4.5.2,1136
0.08,4.5.2,1372
0.04,4.5.2,723
0.07,4.5.2,1330
0.12,4.5.2,2268
0.31,4.5.2,6097
0.08,4.5.2,481
0.22,4.5.2,2448
0.01,4.5.2,61
0.56,4.5.2,2820
0.17,4.5.2,658
0.01,4.0.2,60
0.09,4.0.2,750
0.01,4.0.2,16
0.01,4.0.2,60
0.14,4.0.2,1110
0.2,4.0.2,1831
0.18,4.0.2,1260
0.01,4.0.2,107
0.05,4.0.2,531
0.39,4.0.2,2611
0.01,4.0.2,55
0.01,4.0.2,48
0.06,4.0.2,962
0.01,4.0.2,178
0.02,4.0.2,170
0.01,4.0.2,91
0.01,4.0.2,112
0.02,4.0.2,128
0.02,4.0.2,142
0.05,4.0.2,37972
0.01,4.0.2,98
0.06,4.0.2,519
0.03,4.0.2,432
0.25,4.0.2,1981
0.02,4.0.2,228
0.03,4.0.2,157
0.02,4.0.2,84
0.03,4.1.0,400
0.01,4.1.0,160
0.02,4.1.0,240
0.06,4.5.1,547
0.09,4.5.1,483
0.01,4.5.0,54
0.19,4.5.0,873
0.02,4.5.0,251
0.26,4.5.0,2806
0.57,4.5.0,4941
0.31,4.5.0,3419
0.19,4.5.0,1898
0.12,4.5.0,1222
0.09,4.5.0,910
0.07,4.5.0,504
0.07,4.5.0,625
0.04,4.5.0,7264
0.19,4.5.0,1406
0.66,4.5.0,5802
0.03,4.5.0,305
0.08,4.5.0,830
0.64,4.5.0,6757
0.22,4.5.0,2298
0.12,4.5.0,2036
0.01,4.5.0,219
0.01,4.5.0,63
0.19,4.5.0,932
0.24,4.5.0,1469
0.02,4.5.0,120
0.03,4.5.0,89
0.24,3.11.0,1837
0.04,3.11.0,1650
0.02,3.11.0,850
0.07,4.4.0,903
0.07,4.4.0,1263
0.25,4.4.0,2947
0.04,4.4.0,18355
0.09,4.4.0,1260
0.05,4.4.0,542
0.03,4.4.0,2156
0.04,4.4.0,420
0.2,4.4.0,200
0.01,4.4.0,70
0.5,4.4.0,3567
0.08,4.4.0,609
0.08,4.4.0,7067
0.54,4.4.0,1254
0.51,4.4.0,2142
0.13,4.4.0,475
0.45,4.4.0,730
0.24,4.4.0,1652
0.4,4.4.0,2015
0.01,4.2.2,66
0.11,4.2.2,498
0.36,4.2.2,3257
0.01,4.2.2,45
0.16,4.2.2,798
0.48,4.2.2,2883
0.13,4.2.2,788
0.03,4.2.2,290
0.03,4.2.2,275
0.09,4.2.2,80
0.03,4.2.2,36
0.14,4.2.2,598
0.39,4.2.2,1552
0.46,4.2.2,2219
0.28,4.2.2,1463
0.05,4.2.2,679
0.68,4.2.2,2171
0.01,4.2.2,66
0.01,4.2.0,30
0.2,4.2.0,239
0.27,4.2.0,271
0.09,4.2.0,630
0.05,4.2.0,350
0.15,4.2.0,1048
0.02,4.2.0,193
0.07,4.2.0,490
0.17,4.2.0,1190
0.03,4.2.0,180
0.05,4.2.0,400
0.01,4.3.1,421
0.01,4.3.1,27
0.04,4.3.1,520
0.04,4.3.1,810
0.04,4.3.1,6339
0.11,4.3.1,770
0.01,4.3.1,48
0.01,4.3.1,130
0.04,4.3.1,117
0.01,4.3.1,5
0.04,4.3.1,434
0.7,4.3.1,4889
0.32,4.3.1,3112
0.38,4.3.1,2198
0.03,4.3.1,122
0.02,4.3.1,12
0.11,4.3.1,1061
0.04,4.3.1,5477
0.01,4.3.1,1306
0.06,4.3.1,223
0.11,4.3.1,511
0.04,4.3.1,204
0.06,4.3.1,189
0.16,4.3.1,366
0.11,4.3.1,1066
0.1,4.3.1,950
0.37,4.3.1,22210
0.07,4.3.1,482
0.08,4.3.1,424
0.01,4.3.1,63
0.18,4.3.1,612
0.04,4.3.1,220
0.04,4.3.1,27
0.08,4.3.1,340
0.06,4.3.1,119
0.01,4.3.1,65
0.21,4.3.1,1019
0.23,4.3.1,8206
0.08,4.3.1,354
0.05,4.3.1,134
0.08,4.3.1,667
0.13,4.3.1,566
0.14,4.3.1,112
0.03,4.3.1,200
0.26,4.3.1,967
0.02,4.3.1,140
0.09,3.13.6,2836
0.07,3.13.6,2166
0.04,3.13.6,539
0.03,3.13.6,96
0.01,3.13.6,7
0.02,3.13.6,872
0.03,3.13.6,45
0.02,3.13.6,61
0.05,3.13.6,1223
0.03,3.13.6,605
0.02,3.13.6,140
