Battery_Used,Version,ElapsedTimestamp
0.21,1.3.96.4251,632
0.07,1.3.96.4251,211
0.07,1.3.96.4251,225
0.28,1.3.96.4251,2489
0.27,1.3.96.4251,1340
0.04,1.3.96.4251,505
0.13,1.3.96.4251,2483
0.11,1.3.96.4251,1985
0.31,1.3.96.4251,6603
0.15,1.3.96.4251,3194
0.09,1.3.96.4251,1831
0.05,1.3.96.4251,295
0.02,1.3.96.4251,67
0.04,1.3.96.4251,809
0.07,1.3.96.4251,1321
0.1,1.3.96.4251,1692
0.1,1.3.96.4251,2010
0.25,1.3.96.4251,3443
0.06,1.3.96.4251,362
0.02,1.3.96.4251,95
0.07,1.3.96.4251,1326
0.09,1.3.96.4251,1920
0.26,1.3.96.4251,5113
0.08,1.3.96.4251,486
0.03,1.3.96.4251,165
0.02,1.3.96.4251,137
0.13,1.3.96.4251,1190
0.9,1.3.96.4251,9737
0.75,1.3.96.4251,9064
0.12,1.3.96.4251,1496
0.05,1.3.96.4251,630
0.28,1.3.96.4251,2912
0.28,1.3.96.4251,2050
0.01,1.3.96.4251,6
0.05,1.3.96.4251,63
0.2,1.3.96.4251,2310
0.28,1.3.96.4251,3500
0.06,1.3.96.4251,630
0.01,1.3.96.4251,63806
0.12,1.3.96.4251,2090
0.02,1.3.96.4251,234
0.05,1.3.96.4251,770
0.08,1.3.96.4251,840
0.06,1.3.96.4251,18801
0.02,1.3.96.4251,350
0.01,1.3.96.4251,200
0.02,1.3.96.4251,340
0.02,1.3.96.4251,270
0.02,1.3.96.4251,216
0.02,1.3.96.4251,446
0.03,1.3.96.4251,200
0.38,1.3.96.4251,4402
0.14,1.3.96.4251,1324
0.17,1.3.96.4251,1294
0.01,1.3.96.4251,150
0.13,1.3.96.4251,1298
0.4,1.3.96.4251,2875
0.26,1.3.96.4251,5177
0.1,1.3.96.4251,850
0.05,1.3.96.4251,548
0.13,1.3.96.4251,1457
0.05,1.3.96.4251,450
0.08,1.3.96.4251,792
0.15,1.3.96.4251,1576
0.01,1.3.96.4251,156
0.25,1.3.96.4251,2722
0.05,1.3.96.4251,547
0.24,1.3.96.4251,34283
0.39,1.3.96.4251,4781
0.15,1.3.96.4251,2039
0.07,1.3.96.4251,764
0.01,1.3.88.4161,100
0.02,1.3.88.4161,60
0.03,1.3.88.4161,123
0.07,1.3.88.4161,421
0.01,1.3.88.4161,61
0.07,1.3.88.4161,4676
0.01,1.3.88.4161,40
0.03,1.3.88.4161,292
0.04,1.3.88.4161,296
0.01,1.3.88.4161,72
0.1,1.3.88.4161,872
0.03,1.3.88.4161,291
0.04,1.3.88.4161,288
0.19,1.3.88.4161,565
0.01,1.3.88.4161,120
0.01,1.3.88.4161,90
0.03,1.3.88.4161,241
0.01,1.3.88.4161,38
0.03,1.3.88.4161,165
0.03,1.3.88.4161,112
0.14,1.3.88.4161,12907
0.03,1.3.88.4161,152
0.01,1.3.88.4161,135
0.02,1.3.88.4161,40
0.02,1.3.88.4161,25
0.01,1.3.88.4161,53
0.07,1.3.88.4161,447
0.38,1.3.88.4161,5123
0.17,1.3.88.4161,1217
0.03,1.3.88.4161,437
0.1,1.3.88.4161,915
0.02,1.3.88.4161,236
0.31,1.3.88.4161,4621
0.2,1.3.88.4161,7019
0.02,1.3.88.4161,188
0.33,1.3.88.4161,4153
0.11,1.3.88.4161,2064
0.34,1.3.88.4161,4428
0.3,1.3.88.4161,4050
0.01,1.3.88.4161,87
0.01,1.3.88.4161,82
0.03,1.3.88.4161,215
0.02,1.3.88.4161,179
0.07,1.3.88.4161,749
0.01,1.3.88.4161,122
0.11,1.3.88.4161,1380
0.09,1.3.88.4161,1260
0.07,1.3.88.4161,894
0.03,1.3.88.4161,391
0.03,1.3.88.4161,487
0.01,1.3.88.4161,68
0.01,1.3.88.4161,42
0.01,1.3.88.4161,16
0.34,1.3.88.4161,3847
0.05,1.3.88.4161,701
0.39,1.3.88.4161,5081
0.27,1.3.88.4161,3387
0.01,1.3.88.4161,100
0.09,1.3.88.4161,1247
0.74,1.3.88.4161,10389
0.23,1.3.88.4161,3276
0.01,1.3.88.4161,16
0.01,1.3.88.4161,9
0.2,1.2.72.2751,2333
0.12,1.2.72.2751,1568
0.11,1.2.72.2751,1423
0.09,1.2.72.2751,610
0.01,1.2.72.2751,21
0.03,1.3.52.3692,159
0.06,1.2.97.3042,1263
0.28,1.2.97.3042,5561
0.04,1.2.97.3042,871
0.16,1.2.97.3042,2945
0.2,1.2.97.3042,3697
0.18,1.2.97.3042,872
0.11,1.2.97.3042,340
0.09,1.2.97.3042,1357
0.05,1.2.81.2845,132
0.03,1.2.81.2845,77
0.17,1.2.81.2845,512
0.1,1.2.81.2845,301
0.07,1.2.81.2845,210
0.15,1.2.81.2845,460
0.01,1.2.81.2845,21
0.07,1.2.81.2845,1009
0.11,1.2.81.2845,342
0.12,1.2.81.2845,391
0.01,1.2.81.2845,14
0.01,1.2.81.2845,32
0.02,1.2.81.2845,248
0.01,1.2.81.2845,28
0.11,1.2.81.2845,330
0.49,1.2.81.2845,1485
0.01,1.2.81.2845,53
0.01,1.2.81.2845,12
0.03,1.2.81.2845,79
0.04,1.2.81.2845,200
0.15,1.2.81.2845,443
0.02,1.2.81.2845,60
0.21,1.2.81.2845,631
0.1,1.2.81.2845,285
0.01,1.2.81.2845,32
0.07,1.2.81.2845,204
0.01,1.2.81.2845,18
0.03,1.2.81.2845,81
0.01,1.2.81.2845,30
0.04,1.2.81.2845,115
0.02,1.2.81.2845,59
0.1,1.2.81.2845,375
0.21,1.2.81.2845,1564
0.08,1.2.81.2845,317
0.05,1.2.81.2845,289
0.01,1.2.81.2845,173
0.04,1.2.81.2845,365
0.02,1.2.81.2845,177
0.03,1.2.81.2845,203
0.01,1.2.81.2845,69
0.05,1.2.81.2845,288
0.03,1.2.81.2845,186
0.07,1.2.81.2845,619
0.01,1.2.81.2845,76
0.06,1.2.81.2845,410
0.01,1.2.81.2845,213
0.02,1.2.81.2845,153
0.07,1.2.81.2845,348
0.04,1.3.47.3602,932
0.02,1.3.47.3602,475
0.02,1.3.47.3602,177
0.01,1.3.47.3602,289
0.03,1.3.47.3602,504
0.33,1.3.47.3602,3062
0.01,1.3.47.3602,60
0.03,1.3.47.3602,60
0.01,1.3.47.3602,270
0.04,1.3.47.3602,491
0.05,1.3.47.3602,309
0.31,1.3.47.3602,1925
0.4,1.3.47.3602,3551
0.05,1.3.47.3602,252
0.15,1.3.47.3602,902
0.08,1.3.47.3602,585
0.28,1.3.47.3602,1653
0.35,1.3.47.3602,2166
0.17,1.3.47.3602,1022
0.35,1.3.47.3602,2105
0.04,1.3.47.3602,361
0.5,1.3.47.3602,1955
0.28,1.3.47.3602,1985
0.18,1.3.47.3602,1083
0.23,1.3.47.3602,31602
0.1,1.3.47.3602,722
0.02,1.3.47.3602,36891
0.22,1.3.47.3602,23303
0.05,1.3.47.3602,361
0.21,1.3.47.3602,7390
0.01,1.3.47.3602,2407
0.07,1.3.47.3602,481
0.08,1.3.47.3602,542
0.29,1.3.47.3602,1739
0.01,1.3.47.3602,65
0.25,1.3.47.3602,1997
0.04,1.3.47.3602,6115
0.04,1.3.47.3602,294
0.06,1.3.47.3602,236
0.19,1.3.47.3602,372
0.1,1.3.47.3602,403
0.33,1.3.47.3602,2346
0.19,1.3.47.3602,1126
0.22,1.3.47.3602,1334
0.19,1.3.47.3602,1443
0.02,1.3.47.3602,121
0.19,1.3.47.3602,1504
0.04,1.3.47.3602,301
0.01,1.3.47.3602,120
0.11,1.3.47.3602,1323
0.29,1.3.47.3602,1824
0.28,1.3.47.3602,808
