Battery_Used,Version,ElapsedTimestamp
0.01,0.87.5,197
0.01,0.87.5,172
0.01,0.87.5,250
0.02,0.87.5,451
0.02,0.87.5,679
0.24,0.109.1,2363
0.23,0.109.1,1706
0.03,0.79.3,280
0.21,0.79.3,15094
0.12,0.79.3,1347
0.16,0.79.3,1330
0.09,0.79.3,980
0.14,0.79.3,1005
0.13,0.79.3,1861
0.22,0.79.3,30129
0.13,0.79.3,1610
0.44,0.79.3,18937
0.03,0.79.3,283
0.06,0.79.3,3497
0.04,0.79.3,212
0.19,0.79.3,1960
0.14,0.79.3,980
0.02,0.79.3,140
0.01,0.79.3,48
0.02,0.79.3,140
0.13,0.79.3,1120
0.16,0.79.3,1470
0.35,0.79.3,3570
0.18,0.79.3,29732
0.44,0.79.3,3700
0.03,0.79.3,239
0.13,0.79.3,1400
0.19,0.79.3,1750
0.31,0.79.3,3290
0.07,0.79.3,510
0.07,0.79.3,840
0.06,0.79.3,490
0.08,0.79.3,693
0.02,0.79.3,140
0.06,0.79.3,560
0.13,0.79.3,1200
0.05,0.79.3,5955
0.11,0.79.3,1116
0.01,0.79.3,70
0.04,0.79.3,2481
0.01,0.79.3,160
0.12,0.79.3,3226
0.11,0.79.3,1400
0.04,0.79.3,350
0.01,0.79.3,70
0.04,0.79.3,280
0.3,0.79.3,2380
0.04,0.79.3,1967
0.05,0.79.3,350
0.13,0.79.3,14013
0.05,0.79.3,1018
0.01,0.79.3,70
0.02,0.79.3,663
0.03,0.79.3,210
0.06,0.79.3,490
0.04,0.79.3,470
0.07,0.79.3,560
0.03,0.79.3,210
0.06,0.79.3,746
0.02,0.146.2,120
0.04,0.146.2,393
0.19,0.146.2,6787
0.01,0.146.2,27
0.05,0.146.2,120
0.02,0.146.2,60
0.1,0.146.2,280
0.02,0.146.2,99
0.3,0.146.2,2714
0.37,0.146.2,2181
0.54,0.146.2,9973
0.59,0.146.2,3119
0.01,0.146.2,57
0.11,0.146.2,6881
0.01,0.146.2,60
0.52,0.146.2,2060
0.09,0.146.2,599
0.05,0.146.2,207
0.01,0.146.2,204
0.86,0.119.4,3271
0.01,0.119.4,68
0.02,0.119.4,89
0.03,0.77.1,123
0.17,0.77.1,1178
0.45,0.77.1,14703
0.12,0.77.1,1270
0.12,0.77.1,1139
0.1,0.77.1,1190
0.15,0.77.1,1470
0.05,0.77.1,324
0.25,0.77.1,10804
0.43,0.77.1,3462
0.05,0.79.4,560
0.1,0.79.4,910
0.01,0.79.4,70
0.02,0.79.4,139
0.09,0.79.4,700
0.05,0.79.4,350
0.02,0.79.4,140
0.04,0.79.4,350
0.01,0.79.4,70
0.06,0.79.4,915
0.02,0.79.4,158
0.01,0.79.4,140
0.16,0.79.4,1942
0.1,0.79.4,707
0.02,0.137.1,403
0.12,0.89.1,3943
0.06,0.89.1,1641
0.02,0.89.1,487
0.01,0.89.1,283
0.17,0.139.2,793
0.1,0.139.2,2369
0.02,0.139.3,330
0.02,0.139.3,690
0.02,0.75.1,140
0.01,0.75.1,541
0.44,0.75.1,5740
