Battery_Used,Version,ElapsedTimestamp
0.08,6.5.0,808
0.04,6.5.0,322
0.02,6.5.0,123
0.06,6.5.0,559
0.09,6.5.0,2754
0.02,6.5.0,69
0.2,6.5.0,1358
0.05,6.5.0,377
0.05,6.5.0,196
0.01,6.5.0,222
0.04,6.5.0,285
0.04,6.5.0,529
0.04,6.5.0,312
0.04,6.5.0,305
0.01,6.5.0,70
0.07,6.5.0,1020
0.12,6.5.0,2191
0.06,6.5.0,323
0.04,6.5.0,355
0.03,6.5.0,225
0.05,6.5.0,314
0.04,6.5.0,364
0.01,6.5.0,15
0.05,6.5.0,476
0.01,6.5.0,13
0.08,6.5.0,849
0.01,6.5.0,11
0.03,6.5.0,252
0.02,6.5.0,84
0.04,6.5.0,290
0.01,6.5.0,124
0.02,6.5.0,73
0.03,6.5.0,169
0.02,6.5.0,129
0.03,6.5.0,226
0.13,6.5.0,541
0.02,6.5.0,94
0.13,6.5.0,797
0.01,6.5.0,85
0.01,6.5.0,48
0.06,6.5.0,485
0.05,6.5.0,536
0.02,6.5.0,150
0.03,6.5.0,263
0.06,6.5.0,702
0.06,6.5.0,644
0.01,6.5.0,16
0.01,6.5.0,33
0.02,6.5.0,508
0.04,6.5.0,267
0.03,6.5.0,214
0.03,6.5.0,234
0.03,6.5.0,137
0.1,6.5.0,960
0.04,6.5.0,285
0.06,6.5.0,465
0.01,6.5.0,82
0.02,6.5.0,96
0.03,6.5.0,292
0.04,6.5.0,383
0.05,6.5.0,568
0.01,6.5.0,93
0.03,6.5.0,218
0.01,6.5.0,128
0.01,6.5.0,46
0.02,6.5.0,49
0.02,6.5.0,148
0.01,6.5.0,16
0.01,6.5.0,39
0.04,6.5.0,503
0.05,6.5.0,364
0.05,6.5.0,919
0.02,6.5.0,128
0.05,6.5.0,504
0.05,6.5.0,207
0.05,6.5.0,504
0.01,6.5.0,17
0.02,6.5.0,89
0.04,6.5.0,409
0.05,6.5.0,517
0.08,6.5.0,842
0.04,6.5.0,382
0.04,6.5.0,849
0.01,6.5.0,15
0.04,6.5.0,636
0.06,6.5.0,377
0.01,6.5.0,114
0.02,6.5.0,573
0.05,6.5.0,43755
0.07,6.5.0,676
0.03,6.5.0,270
0.05,6.5.0,461
0.04,6.5.0,533
0.06,6.5.0,520
0.01,6.5.0,20
0.01,6.5.0,80
0.01,6.5.0,48
0.01,6.5.0,79
0.01,6.5.0,116
0.07,6.5.0,666
0.01,6.5.0,20
0.04,6.5.0,866
0.06,6.5.0,533
0.05,6.5.0,891
0.01,6.5.0,58
0.05,6.5.0,431
0.02,6.5.0,185
0.03,6.5.0,185
0.02,6.5.0,146
0.02,6.5.0,151
0.04,6.5.0,298
0.01,6.5.0,18
0.09,6.5.0,894
0.01,6.5.0,23
0.01,6.5.0,106
0.03,6.5.0,193
0.07,6.5.0,442
0.05,6.5.0,590
0.01,6.5.0,39
0.02,6.5.0,145
0.03,6.5.0,147
0.02,6.5.0,127
0.05,6.5.0,412
0.03,6.5.0,315
0.05,6.5.0,690
0.05,6.5.0,609
0.02,6.5.0,184
0.01,6.5.0,14
0.01,6.5.0,27
0.01,6.5.0,120
0.04,6.5.0,350
0.04,6.5.0,585
0.05,6.5.0,437
0.01,6.5.0,142
0.05,6.5.0,468
0.06,6.5.0,618
0.01,6.5.0,29
0.01,6.5.0,73
0.07,6.5.0,376
0.04,6.5.0,290
0.02,6.5.0,250
0.01,6.5.0,71
0.07,6.5.0,826
0.01,6.5.0,104
0.05,6.5.0,474
0.02,6.5.0,66
0.01,6.5.0,70
0.02,6.5.0,177
0.04,6.5.0,376
0.01,6.5.0,96
0.09,6.5.0,1490
0.05,6.5.0,371
0.01,6.5.0,20
0.04,6.5.0,320
0.04,6.5.0,15354
0.01,6.5.0,96
0.04,6.5.0,351
0.05,6.5.0,705
0.02,6.5.0,114
0.01,6.5.0,23
0.01,6.5.0,128
0.01,6.5.0,57
