Battery_Used,Version,ElapsedTimestamp
0.13,10.134.6,35806
0.02,10.134.6,90
0.16,10.134.6,1295
0.08,10.134.6,632
0.12,10.134.6,451
0.13,10.134.6,1787
0.2,10.134.6,1176
0.1,10.134.6,579
0.16,10.134.6,2608
0.22,10.134.6,1067
0.02,10.134.6,60
0.05,10.134.6,390
0.14,10.134.6,466
0.09,10.134.6,272
0.15,10.134.6,1206
0.25,10.134.6,2021
0.03,10.134.6,211
0.35,10.134.6,1657
0.15,10.134.6,1177
0.11,10.134.6,5579
0.28,10.134.6,842
0.51,10.134.6,4884
0.1,10.134.6,852
0.5,10.134.6,28873
0.03,10.134.6,181
0.09,10.134.6,757
0.01,10.134.6,60
0.15,10.134.6,451
0.11,10.134.6,934
0.32,10.134.6,7610
0.13,10.134.6,955
0.08,10.134.6,673
0.05,10.134.6,421
0.01,10.134.6,93
0.1,10.134.6,786
0.01,10.134.6,60
0.08,10.134.6,554
0.12,10.134.6,575
0.05,10.134.6,368
0.28,10.134.6,5177
0.14,10.134.6,1117
0.17,10.134.6,855
0.4,10.134.6,3240
0.16,10.134.6,1571
0.07,10.134.6,1551
0.23,10.134.6,5504
0.47,10.134.6,4176
0.07,10.134.6,301
0.12,10.134.6,1010
0.19,10.134.6,1539
0.06,10.134.6,361
0.05,10.134.6,594
0.1,10.134.6,775
0.06,10.134.6,400
0.02,10.134.6,24258
0.09,10.134.6,760
0.08,10.134.6,637
0.33,10.134.6,38059
0.02,10.134.6,150
0.1,10.134.6,702
0.17,10.134.6,1473
0.21,10.134.6,3515
0.02,10.134.6,157
0.06,10.134.6,511
0.07,10.134.6,531
0.14,10.134.6,1127
0.01,10.134.6,60
0.18,10.134.6,1469
0.04,10.134.6,271
0.13,10.134.6,1122
0.02,10.134.6,180
0.15,10.134.6,1233
0.16,10.134.6,1230
0.02,,140
0.17,9.256.19,17757
0.04,9.256.19,400
0.09,9.256.19,787
0.03,9.256.19,361
0.05,9.256.19,639
0.03,9.256.19,180
0.04,9.256.19,916
0.06,9.256.19,2004
0.15,9.256.19,62638
0.03,9.256.19,181
0.12,9.256.19,361
0.05,9.256.19,654
0.04,9.256.19,488
0.03,9.256.19,361
0.16,9.256.19,482
0.08,9.256.19,979
0.05,9.256.19,661
0.02,9.256.19,271
0.03,9.256.19,398
0.07,9.256.19,895
0.2,9.256.19,609
0.07,9.256.19,933
0.02,9.256.19,60
0.06,9.256.19,3570
0.06,9.256.19,739
0.01,9.256.19,30
0.06,9.256.19,849
0.03,9.256.19,394
0.07,9.256.19,766
0.13,9.256.19,398
0.04,9.256.19,558
0.22,9.256.19,661
0.13,9.256.19,1709
0.03,9.256.19,397
0.05,9.256.19,276
0.09,9.256.19,1208
0.05,9.256.19,331
0.02,9.256.19,60
0.25,9.256.19,814
0.06,9.256.19,1875
0.19,9.256.19,51889
0.28,9.256.19,874
0.02,9.256.19,256
0.06,9.256.19,782
0.08,9.256.19,5474
0.03,9.256.19,428
0.04,9.256.19,541
0.15,9.256.19,521
0.04,9.256.19,127
0.06,9.256.19,793
0.06,9.256.19,722
0.16,9.256.19,497
0.03,9.256.19,208
0.04,9.256.19,3233
0.27,10.134.11,3030
0.05,11.446.15,293
0.01,11.446.15,55
0.09,11.446.15,1171
0.01,11.446.15,73
0.08,11.446.15,878
0.1,11.446.15,2639
0.18,11.446.15,1711
0.01,11.446.15,61
0.19,11.446.15,1533
0.01,11.446.15,128
0.06,11.446.15,154
0.36,11.446.15,25970
0.09,11.446.15,988
0.07,11.446.15,769
0.08,11.446.15,916
0.02,11.446.15,152
0.01,11.446.15,64
0.03,11.446.15,229
0.05,11.446.15,576
0.01,11.446.15,174
0.04,11.446.15,541
0.01,11.446.15,8
0.01,11.446.15,21
0.08,11.446.15,635
0.21,11.446.15,1720
0.02,11.446.15,350
0.01,11.446.15,67
0.02,11.446.15,70
0.36,11.446.15,2898
0.14,11.446.15,1340
0.19,11.446.15,1922
0.01,11.446.15,57
0.17,11.446.11,1862
0.05,11.446.11,640
0.01,11.446.11,17
0.01,11.446.11,3
0.17,11.446.11,23593
0.02,11.446.11,86
0.01,11.446.11,159
0.01,11.446.11,139
0.1,11.446.11,509
0.01,11.446.11,6
0.02,11.446.11,242
0.01,11.446.11,3763
0.08,11.446.11,1000
0.01,11.446.11,90
0.02,11.446.11,149
0.03,11.446.11,162
0.01,11.446.11,81
0.03,11.446.11,3321
0.06,11.446.11,7042
0.06,11.446.11,3336
0.02,11.446.11,9848
0.02,11.446.11,618
0.01,11.446.11,83
0.01,11.446.11,90
0.01,11.446.11,150
0.01,11.446.11,49
0.01,11.446.11,69
0.06,11.446.11,902
0.05,11.446.11,188
0.01,11.446.11,47
0.01,11.446.11,106
0.03,11.446.11,210
0.02,11.446.11,98
0.03,11.446.11,301
0.01,11.446.11,34
0.01,11.446.11,64
0.01,11.446.11,104
0.01,11.446.11,81
0.02,11.446.11,88
0.02,11.446.11,151
0.02,11.446.11,162
0.01,11.446.11,8
0.02,11.446.11,239
0.07,11.446.11,450
0.01,11.446.11,33
0.05,11.446.11,332
0.03,11.446.11,3446
0.01,11.446.11,60
0.01,11.446.11,60
0.01,11.446.11,120
0.03,11.446.11,183
0.03,11.446.11,217
0.02,11.446.11,62
0.04,9.256.17,279
0.01,9.256.17,1302
0.03,9.256.17,210
0.05,9.256.17,484
0.02,9.256.17,288
0.03,9.256.17,1973
0.06,9.256.17,1165
0.01,9.256.17,6
0.04,9.256.17,581
0.02,9.256.17,142
0.07,9.256.17,1020
0.03,9.256.17,369
0.01,9.256.17,60
0.34,9.256.17,1091
0.05,9.256.17,560
0.01,9.256.17,150
0.04,9.256.17,541
0.37,9.256.17,1515
0.13,9.256.17,884
0.04,9.256.17,511
0.02,9.256.17,240
0.02,9.256.17,120
0.06,9.256.17,2711
0.14,9.256.17,43846
0.07,9.256.17,830
0.08,9.256.17,995
0.01,9.256.17,130
0.01,9.256.17,90
0.01,9.256.17,30
0.05,9.256.17,642
0.08,9.256.17,38894
0.12,9.256.17,373
0.12,10.322.27,363
0.1,10.322.27,876
0.15,10.322.27,1306
0.04,10.322.27,335
0.13,10.322.27,966
0.03,10.322.27,181
0.02,10.322.27,151
0.07,10.322.27,5728
0.04,10.322.27,368
0.06,10.322.27,300
0.01,10.322.27,31
0.1,10.322.27,322
0.04,10.322.27,444
0.05,10.322.27,391
0.03,10.322.27,90
0.15,10.322.27,453
0.21,10.322.27,2140
0.09,10.322.27,671
0.01,10.322.27,60
0.16,10.322.27,1333
0.21,10.322.27,664
0.18,10.322.27,1540
0.09,10.322.27,5564
0.15,10.322.27,554
0.04,10.322.27,129
0.18,10.322.27,1535
0.16,10.322.27,20287
0.11,10.322.27,9744
0.15,10.322.27,1707
0.08,10.322.27,1181
0.24,10.322.27,722
0.38,10.322.27,1113
0.27,10.322.27,811
0.04,10.322.27,120
0.01,10.322.27,5774
0.01,10.322.27,165
0.02,10.322.27,60
0.07,10.322.27,210
0.08,10.322.27,241
0.39,10.322.27,1507
0.19,10.322.27,571
0.48,10.322.27,1517
0.22,10.322.27,632
0.15,10.322.27,421
0.19,10.322.27,616
0.06,10.322.27,179
0.21,10.322.27,3570
0.14,9.434.26,1248
0.15,9.434.26,1756
0.06,9.434.26,589
0.02,9.434.26,275
0.1,9.434.26,3028
0.14,9.434.26,428
0.17,9.434.26,1393
0.1,9.434.26,1172
0.11,9.434.26,30086
0.01,9.434.26,120
0.09,9.434.26,1088
0.2,9.434.26,3491
0.21,9.434.26,3014
0.06,9.434.26,589
0.18,9.434.26,4353
0.19,9.434.26,50970
0.05,9.434.24,608
0.49,9.434.24,17555
0.09,9.434.24,270
0.16,9.434.24,1962
0.03,10.322.24,481
0.03,10.322.24,1112
0.01,10.322.24,114
0.01,10.322.24,26
0.03,10.322.24,451
0.02,10.322.24,303
0.07,10.322.24,21049
0.01,10.322.24,180
0.07,10.322.24,1138
0.04,10.322.24,421
0.1,10.322.24,1322
0.14,10.322.24,1352
0.08,10.322.24,1971
0.01,10.322.24,318
0.01,10.322.24,87
0.07,10.322.24,979
0.05,10.322.24,734
0.07,10.322.24,902
0.09,10.322.24,1145
0.01,10.322.24,19
0.03,10.322.24,481
0.02,10.322.24,301
0.03,10.322.24,421
0.04,10.322.24,420
0.06,10.322.24,689
0.02,10.322.24,315
0.02,10.322.24,275
0.02,11.651.10,1422
0.01,11.651.10,112
0.02,11.651.10,52176
0.01,11.651.10,164
0.18,11.651.10,1020
0.21,11.651.10,4413
0.09,11.651.10,534
0.04,11.651.10,185
0.06,11.651.10,1050
0.02,11.651.10,296
0.13,11.651.10,726
0.2,11.651.10,1683
0.01,11.651.10,39
0.42,11.651.10,213
0.07,11.651.10,980
0.08,11.651.10,1243
0.02,11.651.10,122
0.02,11.651.10,93
0.01,11.651.10,22
0.12,11.651.10,601
0.27,11.651.10,1489
0.01,11.651.10,31
0.06,11.651.10,230
0.01,11.651.10,30
0.02,11.651.10,118
0.02,11.651.10,131
0.07,11.651.10,2264
0.04,11.651.10,661
0.03,11.651.10,480
0.01,11.651.10,82
0.02,11.651.10,450
0.02,11.446.22,60
0.02,11.651.19,301
0.22,11.651.19,1054
0.21,11.651.19,1144
0.02,11.651.19,100
0.03,11.651.19,209
0.09,11.651.19,630
0.01,11.651.19,70
0.28,11.651.19,1967
0.03,11.651.19,210
0.37,11.651.19,2658
0.56,11.651.19,3301
0.06,11.651.19,454
0.06,11.651.19,421
0.03,11.651.19,210
0.23,11.651.19,1616
0.25,11.651.19,1885
0.01,11.651.19,70
0.2,11.651.19,1515
0.35,11.651.19,500
0.04,11.651.19,295
0.16,11.651.19,1185
0.1,11.651.19,700
0.14,11.651.19,380
0.01,11.651.19,70
0.11,11.651.19,771
0.14,11.651.19,980
0.29,11.185.8,1571
0.14,11.185.8,1267
0.13,11.185.8,391
0.29,11.185.8,14869
0.02,11.185.8,183
0.15,11.185.8,1262
0.37,11.185.8,3475
0.08,11.185.8,481
0.43,11.185.8,2907
0.24,11.185.8,45099
0.01,11.185.8,91
0.04,11.185.8,337
0.04,11.185.8,284
0.02,11.185.8,63
0.01,11.185.8,31
0.01,11.185.8,32
0.03,11.185.8,867
0.05,11.185.8,68
0.02,11.185.8,147
0.2,11.185.15,1148
0.05,11.185.15,240
0.01,11.185.15,87
0.03,11.185.15,32689
0.02,11.185.15,330
0.02,11.185.15,240
0.04,11.185.15,462
0.24,11.185.15,985
0.18,11.185.15,657
0.01,11.185.15,30
0.07,11.185.10,541
0.03,11.185.10,390
0.03,11.185.10,449
0.01,11.185.10,140
0.03,11.185.10,330
0.08,11.185.10,225
