Battery_Used,Version,ElapsedTimestamp
0.06,2.0.7,1024
0.01,2.0.7,107
0.04,2.0.7,447
0.12,2.0.7,1775
0.17,2.0.7,3362
0.26,2.0.7,5207
0.02,2.0.7,3582
0.07,2.0.7,1801
0.01,2.0.7,226
0.02,2.0.7,312
0.13,2.0.7,2261
0.09,2.0.7,1267
0.12,2.0.7,1489
0.02,2.0.7,236
0.01,2.0.7,202
0.08,2.0.7,2107
0.01,2.0.7,77
0.06,2.0.7,1091
0.12,2.0.7,2184
0.09,2.0.7,1538
0.05,2.0.7,882
0.25,2.0.7,2520
0.2,2.0.7,1750
0.1,2.0.7,980
0.06,2.0.7,630
0.13,2.0.7,910
0.18,2.0.7,1260
0.01,2.0.7,343
0.01,2.9.0,55431
0.01,2.9.0,3
0.03,2.9.0,512
0.03,2.9.0,722
0.05,2.9.0,944
0.01,2.9.0,181
0.09,2.9.0,62283
0.01,2.9.0,241
0.05,2.9.0,1142
0.07,2.9.0,1324
0.19,2.9.0,391
0.03,2.9.0,798
0.02,2.9.0,74422
0.02,2.9.0,301
0.05,2.9.0,1023
0.03,2.9.0,481
0.01,2.9.0,120
0.02,2.0.1,540
0.01,2.0.1,225
0.01,2.0.1,225
0.01,2.0.1,57
0.05,2.0.1,1708
0.03,2.0.1,2471
0.03,2.0.1,579
0.17,2.0.1,2858
0.09,2.0.1,2018
0.05,2.0.1,734
0.04,2.0.1,822
0.06,2.0.1,1115
0.1,2.0.1,7661
0.12,2.0.1,4359
0.07,2.0.1,2008
0.04,2.0.1,1086
0.01,2.0.1,6448
0.01,2.0.1,100
0.01,2.0.1,421
0.03,2.0.1,301
0.25,2.0.1,2735
0.25,2.0.1,2380
0.24,2.0.1,2100
0.09,2.0.1,1410
0.02,2.0.1,140
0.21,2.0.1,1876
0.01,2.0.1,132
0.12,2.0.1,1120
0.16,2.0.1,15806
0.02,2.0.1,140
0.29,2.0.1,82940
0.21,2.0.1,1750
0.09,2.0.1,770
0.04,2.0.1,541
0.15,2.0.1,1190
0.01,2.0.1,140
0.21,2.0.1,1470
0.04,2.0.0,1329
0.15,2.0.0,3004
0.02,2.0.0,4564
0.01,2.0.0,1824
0.02,2.0.0,896
0.01,2.0.0,174
0.03,2.0.0,334
0.13,2.0.0,930
0.17,2.0.0,1200
0.1,2.0.0,700
0.01,2.0.0,109
0.01,2.6.1,140
0.01,2.6.1,37
0.05,2.6.1,2256
0.01,2.6.1,29
0.03,2.6.1,952
0.16,2.6.1,7156
0.05,2.6.1,2353
0.02,2.6.1,135
0.01,2.6.1,62
0.06,2.6.1,285
0.02,2.6.1,91
0.01,2.6.1,63
0.03,2.6.1,180
0.18,2.6.1,1070
0.01,2.3.1,96
0.03,2.3.1,25459
0.01,2.3.1,87
0.01,2.3.1,34
0.02,2.3.1,366
0.07,2.3.2,975
0.03,2.3.2,251
0.19,2.3.2,3617
0.15,2.3.2,1192
0.02,2.3.2,103
0.11,2.3.2,2526
0.05,2.3.2,179
0.06,2.3.2,372
0.17,2.3.2,1915
0.04,2.3.2,1235
0.07,2.3.2,73
0.04,2.3.2,357
0.09,2.3.2,994
0.27,2.3.2,3165
0.12,2.3.2,956
0.05,2.3.2,395
0.1,2.3.2,926
0.05,2.3.2,716
0.03,2.3.2,116
0.04,2.3.2,412
0.09,2.3.2,1183
0.01,2.3.2,819
0.02,2.3.2,395
0.01,2.3.2,18
0.1,2.3.2,1849
0.14,2.3.2,19252
0.27,2.3.2,4428
0.1,2.3.2,1583
0.1,2.3.2,286
0.19,2.3.2,5093
0.02,2.3.2,105
0.02,2.3.2,1081
0.08,2.3.2,746
0.2,2.3.2,16782
0.19,2.3.2,2368
0.54,2.3.2,6611
0.13,2.3.2,1474
0.08,2.3.2,488
0.07,2.3.2,601
0.16,2.3.2,1233
0.05,2.3.2,255
0.08,2.3.2,406
0.08,2.3.2,656
0.06,2.3.2,448
0.39,2.3.2,6017
0.06,2.3.2,356
0.04,2.3.2,145
0.08,2.3.2,495
0.05,2.3.2,255
0.16,2.3.2,5470
0.07,2.3.2,832
0.01,2.3.2,49
0.04,2.3.2,543
0.05,2.3.2,45052
0.01,2.3.2,176
0.03,2.3.2,265
0.02,2.3.2,46
0.09,2.3.2,1796
0.06,2.3.2,166
0.22,2.3.2,2352
0.09,2.3.2,914
0.13,2.3.2,1453
0.02,2.3.2,196
0.06,2.3.2,2652
0.25,2.3.2,30891
0.06,2.3.2,411
0.01,2.3.2,40
0.2,2.3.2,2510
0.18,2.3.2,598
0.35,2.3.2,8413
0.31,2.3.2,3537
0.06,2.3.2,501
0.18,2.3.2,6736
0.05,2.3.2,591
0.22,2.3.2,3229
0.04,2.3.2,240
0.13,2.3.2,1522
0.02,2.3.2,362
0.08,2.3.2,962
0.07,2.3.2,812
0.05,2.3.2,1219
0.09,2.3.2,1202
0.15,2.3.2,2103
0.02,2.3.2,151
0.02,2.3.2,231
0.01,2.3.2,120
0.02,2.3.2,140
0.07,2.3.2,687
0.01,2.3.2,61
0.02,2.3.2,270
0.08,2.3.2,788
0.04,2.3.2,391
0.14,2.3.3,592
0.09,2.3.3,289
0.18,2.3.3,36433
0.16,2.3.3,1891
0.11,2.3.4,1211
0.22,2.3.4,2515
0.15,2.3.4,1721
0.01,2.3.4,35
0.24,2.3.4,2808
0.13,2.3.4,6835
0.06,2.3.4,865
0.03,2.3.4,200
0.06,2.3.4,813
0.18,2.3.4,5034
0.18,2.3.4,2637
0.04,2.3.4,524
0.05,2.3.4,116
0.11,2.3.4,1165
0.11,2.3.4,1144
0.12,2.3.4,1530
0.18,2.3.4,4007
0.02,2.3.4,10
0.25,2.3.4,2590
0.02,2.3.4,115
0.09,2.3.4,962
0.08,2.3.4,867
0.38,2.3.4,6247
0.04,2.3.4,669
0.33,2.3.4,7381
0.13,2.3.4,1395
0.08,2.3.4,807
0.21,2.3.4,2482
0.38,2.3.4,5493
0.14,2.3.4,1211
0.19,2.3.4,357
0.05,2.3.4,626
0.23,2.3.4,2786
0.15,2.3.4,1632
0.02,2.3.4,179
0.11,2.3.4,986
0.06,2.3.4,349
0.2,2.3.4,2500
0.13,2.3.4,1361
0.2,2.3.4,4736
0.12,2.3.4,741
0.01,2.3.4,104
0.04,2.3.4,332
0.06,2.3.4,136
0.06,2.3.4,123
0.21,2.7.1,1316
0.03,2.7.1,1274
0.14,2.7.1,1643
0.03,2.7.1,418
0.02,2.7.1,325
0.01,2.7.1,11
0.06,2.8.2,2527
0.11,2.8.2,1986
0.01,2.8.2,121
0.09,2.8.2,1624
0.14,2.8.2,2406
0.14,2.8.2,55644
0.02,2.8.2,361
0.08,2.8.2,1505
0.05,2.8.2,343
0.04,2.8.2,232
0.04,2.8.2,257
0.05,2.8.2,299
0.05,2.7.4,6822
0.01,2.7.4,29
0.03,2.7.4,122
0.16,2.7.4,2210
0.1,2.7.4,1383
0.1,2.7.4,72755
0.04,2.7.4,783
0.08,2.7.4,2286
0.12,2.7.4,6074
0.11,2.7.4,2046
0.03,2.7.4,602
0.01,2.7.4,77
0.02,2.7.4,1286
0.01,2.7.4,33
0.03,2.7.4,481
0.01,2.7.4,754
0.01,2.7.4,210
0.07,2.7.4,1472
0.05,2.7.4,722
0.62,2.7.4,451
0.11,2.7.4,2165
0.01,2.7.4,162
0.1,2.7.4,1280
0.04,2.7.4,500
0.24,2.8.6,4031
0.2,2.8.6,3610
0.09,2.8.6,1618
0.03,2.8.6,661
0.08,2.8.6,1444
0.02,2.8.6,241
0.16,2.8.6,5644
0.15,2.8.6,2647
0.03,2.8.6,420
0.17,2.8.6,18192
0.01,2.2.3,32
0.01,2.2.3,7
0.05,2.2.3,490
0.03,2.2.3,2604
0.2,2.2.3,2820
0.1,2.2.3,1113
0.2,2.2.3,3487
0.06,2.2.3,635
0.12,2.2.3,2095
0.02,2.2.3,271
0.03,2.2.2,145
0.01,2.2.2,17
0.01,2.2.2,580
0.02,2.4.3,180
0.01,2.4.3,30
0.05,2.4.3,400
0.17,2.4.3,1379
0.28,2.1.7,2347
0.03,2.1.7,15926
0.04,2.1.7,207
0.02,2.1.7,150
0.07,2.1.7,211
0.06,2.1.7,390
0.03,2.1.7,217
0.02,2.1.7,90
0.01,2.1.7,120
0.1,2.1.7,770
0.02,2.1.7,326
0.09,2.1.7,2428
0.19,2.1.7,4551
0.18,2.1.7,2373
0.04,2.1.7,1945
0.02,2.6.0,360
0.02,2.6.0,748
0.02,2.6.0,405
0.01,2.6.0,207
0.01,2.6.0,63
