Battery_Used,Version,ElapsedTimestamp
0.01,0.9.0,67
0.25,0.9.0,1796
0.71,0.9.0,6233
0.44,0.9.0,4685
0.44,0.9.0,3894
0.13,0.9.0,1108
0.19,0.9.0,1544
0.45,0.9.0,3379
0.21,0.9.0,1738
0.01,0.9.0,1193
0.31,0.9.0,4893
0.15,0.9.0,1090
0.21,0.9.0,1758
0.2,0.9.0,1563
0.27,0.9.0,1379
0.1,0.9.0,650
0.01,0.9.0,48
0.33,0.9.0,4906
0.04,0.9.0,563
0.41,0.9.0,5999
0.05,0.9.0,695
0.04,0.9.0,330
0.07,0.9.0,211
0.01,0.9.0,145
0.3,0.9.0,2425
0.23,0.9.0,2005
0.13,0.9.0,919
0.04,0.9.0,484
0.15,0.9.0,3571
0.05,0.14.0,94
0.01,0.14.0,121
0.02,0.14.0,35
0.03,0.14.0,133
0.26,0.14.0,848
0.04,0.14.0,168
0.01,0.14.0,50
0.4,0.14.0,1740
0.05,0.14.0,182
0.18,0.14.0,679
0.03,0.14.0,157
0.02,0.14.0,339
0.01,0.10.0,72
0.13,0.10.0,640
0.19,0.10.0,1043
0.15,0.10.0,880
0.03,0.10.0,165
0.01,0.10.0,65
0.11,0.10.0,572
0.06,0.10.0,140
0.05,0.10.0,160
0.07,0.10.0,111
0.12,0.10.0,80
0.03,0.10.0,52
0.41,0.10.0,159
0.05,0.11.0,962
0.04,0.11.0,692
0.01,0.11.0,211
0.18,0.11.0,814
0.05,0.11.0,140
0.09,0.11.0,230
0.19,0.11.0,846
0.6,0.11.0,3669
0.44,0.11.0,1637
0.09,0.11.0,383
0.05,0.11.0,88
0.19,0.11.0,988
0.01,0.11.0,45
0.02,0.11.0,24
0.02,0.11.0,22
0.8,0.11.0,4281
0.09,0.11.0,481
0.04,0.11.0,68
0.57,0.11.0,2293
0.4,0.11.0,1142
0.05,0.11.0,94
0.02,0.11.0,25
0.01,0.11.0,144
0.09,0.11.0,312
0.32,0.11.0,1435
0.03,0.11.0,96
0.04,0.11.0,177
0.03,0.11.0,119
0.2,0.11.0,799
0.64,0.11.0,3657
0.14,0.11.0,791
0.2,0.11.0,828
0.02,0.11.0,107
0.01,0.11.0,218
0.07,0.11.0,681
0.02,0.11.0,299
0.02,0.11.0,475
0.22,0.11.0,4320
0.14,0.11.0,1960
0.5,0.11.0,6658
0.17,0.11.0,2700
0.05,0.11.0,875
0.08,0.11.0,1473
0.2,0.11.0,3344
0.05,0.11.0,1103
0.07,0.11.0,1200
0.2,0.11.0,3652
0.51,0.11.0,9361
0.3,0.11.0,4861
0.34,0.11.0,6738
0.11,0.11.0,1632
0.12,0.11.0,1920
0.16,0.11.0,3520
0.03,0.11.0,299
0.12,0.11.0,1920
0.12,0.11.0,1638
0.4,0.11.0,4999
0.14,0.11.0,2580
0.39,0.11.0,5854
0.11,0.11.0,1531
0.4,0.11.0,4707
0.15,0.11.0,2280
0.33,0.11.0,4920
0.34,0.11.0,6840
0.2,0.11.0,4031
0.01,0.11.0,300
0.07,0.11.0,1380
0.02,0.11.0,501
0.23,0.11.0,3840
0.19,0.11.0,2820
0.03,0.11.0,521
0.02,0.11.0,408
0.03,0.11.0,660
0.17,0.11.0,2817
0.05,0.11.0,1077
0.16,0.11.0,2488
0.25,0.11.0,19190
0.02,0.11.0,480
0.09,0.11.0,603
0.01,0.11.0,20
0.71,0.11.0,7092
0.01,0.11.0,58
0.37,0.11.0,2852
0.17,0.7.0,766
0.01,0.7.0,72
0.01,0.7.0,284
0.01,0.7.0,41
0.05,0.12.0,13525
0.02,0.12.0,39
0.02,0.12.0,26
0.01,0.12.0,35
0.03,0.12.0,170
0.21,0.12.0,1155
0.04,0.12.0,76
0.07,0.12.0,1300
0.01,0.12.0,21
0.03,0.12.0,109
0.47,0.12.0,1897
0.02,0.12.0,41
0.06,0.12.0,106
0.74,0.12.0,3612
0.28,0.12.0,1176
0.04,0.12.0,96
0.01,0.12.0,27
0.26,0.12.0,1281
0.26,0.12.0,1233
0.44,0.12.0,1289
0.08,0.12.0,775
0.02,0.12.0,56
0.06,0.12.0,151
0.1,0.12.0,201
0.09,0.12.0,42391
0.04,0.12.0,78
0.02,0.12.0,27
0.07,0.12.0,217
0.06,0.12.0,281
0.01,0.12.0,101
0.04,0.12.0,125
0.15,0.12.0,466
0.03,0.12.0,37
0.35,0.12.0,14114
0.01,0.12.0,1
0.16,0.12.0,717
0.28,0.12.0,948
0.02,0.12.0,44
0.08,0.12.0,2049
0.01,0.12.0,52
0.02,0.12.0,38
0.02,0.12.0,94
0.01,0.12.0,9
0.18,0.12.0,2571
0.01,0.12.0,1
0.02,0.12.0,45
0.19,0.12.0,605
0.14,0.12.0,215
0.69,0.12.0,1993
0.29,0.12.0,973
0.02,0.12.0,189
0.09,0.12.0,1343
0.02,0.12.0,49
0.06,0.12.0,254
0.01,0.12.0,13
0.01,0.12.0,46
0.03,0.12.0,560
0.06,0.12.0,358
0.02,0.12.0,118
0.01,0.13.0,12
0.28,0.13.0,1332
0.02,0.13.0,95
0.14,0.13.0,674
0.07,0.13.0,234
0.52,0.13.0,2149
0.11,0.13.0,322
0.86,0.13.0,4589
0.01,0.13.0,28
0.47,0.13.0,2126
0.01,0.13.0,68
0.04,0.13.0,177
0.01,0.13.0,2
0.01,0.13.0,10
0.05,0.13.0,5242
0.03,0.13.0,59
0.18,0.13.0,738
0.04,0.13.0,98
0.28,0.13.0,1392
0.05,0.13.0,96
0.69,0.13.0,3480
0.05,0.13.0,99
0.01,0.13.0,12
0.04,0.13.0,104
0.17,0.13.0,851
0.46,0.13.0,2088
0.2,0.13.0,758
0.06,0.13.0,47067
0.11,0.13.0,490
0.29,0.13.0,1433
0.35,0.13.0,1563
0.09,0.13.0,2375
0.04,0.13.0,89
0.04,0.13.0,89
0.35,0.13.0,2090
0.05,0.13.0,105
0.15,0.13.0,625
0.07,0.13.0,305
0.14,0.13.0,546
0.07,0.13.0,167
0.03,0.13.0,105
0.52,0.13.0,1886
0.33,0.13.0,1987
0.17,0.13.0,664
0.05,0.13.0,98
0.03,0.13.0,104
0.03,0.13.0,168
0.01,0.13.0,507
